Kingdom,Phylum,Class,Order,Family,Genus,Species,scientificName,taxonConceptID,habitat_interim,size_cat
Animalia,Annelida,Polychaeta,Spionida,Spionidae,,,Spionidae,cf Laonice sp. 580,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,,,Spionidae,Spionidae sp. 2316,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,,,Spionidae,Spionidae sp. 271,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,,,Spionidae,Spionidae sp. 470,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,,,Spionidae,Spionidae sp. 573,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,Spiophanes,Spiophanes sp. 458b,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,Aurospio,Auropsio sp.A,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,Aurospio,Aurospio sp.A,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp.A,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp.B,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp.C,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,Laonice,Laonice sp.D,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 883,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 884,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 886,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 887,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 888,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 889,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 890,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 891,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 893,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 894,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 895,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 896,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 897,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 898,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 899,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio 900,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp.A,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp.B,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,Prionospio,Prionospio sp.C,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,,,Spionidae,Spionidae sp.A,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,,,Spionidae,Spionidae sp.B,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,,,Spionidae,SpionidgenusA 886,sediment,macrofauna
Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,Spiophanes,Spiophanes 885,sediment,macrofauna
