Site,Abundance,Species,rec,size_cat,REGION,SOURCE
UKSRL1 UK-1 UK1-A-H,2,AB_ Bivalvia sp 12,23926,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-L,1,AB_ Bivalvia sp 2,24810,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-F,1,AB_ Bivalvia sp 2,23491,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-B,1,AB_ Bivalvia sp 2,21959,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-F,3,AB_ Bivalvia sp 3,23492,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-A,2,AB_ Bivalvia sp 3,21231,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-L,1,AB_ Bivalvia sp 3,24811,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-I,1,AB_ Bivalvia sp 3,24185,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-G,1,AB_ Bivalvia sp 3,23593,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-D,1,AB_ Bivalvia sp 3,22314,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-C,1,AB_ Bivalvia sp 3,22225,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-B,2,AB_ Bivalvia sp 4,21960,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-A,2,AB_ Bivalvia sp 4,21232,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-L,1,AB_ Bivalvia sp 4,24812,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-K,1,AB_ Bivalvia sp 4,24575,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-J,1,AB_ Bivalvia sp 4,24305,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-D,1,AB_ Bivalvia sp 4,22315,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-C,1,AB_ Bivalvia sp 5,22226,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-B,1,AB_ Bivalvia sp 5,21961,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-L,2,AB_ Bivalvia sp 6,24813,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-L,4,AB_ Bivalvia sp 7,24814,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-I,3,AB_ Bivalvia sp 7,24186,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-B,2,AB_ Bivalvia sp 7,21962,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-C,1,AB_ Bivalvia sp 7,22227,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-A,1,AB_ Bivalvia sp 7,21233,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-J,1,AB_ Bivalvia sp 8,24306,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-I,1,AB_ Bivalvia sp 8,24187,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-F,1,AB_ Bivalvia sp 8,23493,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-D,1,AB_ Bivalvia sp 8,22316,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-A,1,AB_ Bivalvia sp 8,21234,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-J,1,AB_ Bivalvia sp 9,24307,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-E,1,AB_ Bivalvia sp 9,22556,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-F,3,AB_ Capitellidae sp 1,23433,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-B,2,AB_ Capitellidae sp 1,21887,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-L,1,AB_ Capitellidae sp 1,24760,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-D,1,AB_ Capitellidae sp 1,22289,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-A,1,AB_ Capitellidae sp 1,21171,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-J,1,AB_ Capitellidae sp 2,24247,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-B,1,AB_ Chelicerata sp 1    (sea mite),21922,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-K,2,AB_ Chrysopetalidae sp 1,24526,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-L,1,AB_ Chrysopetalidae sp 1,24762,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-I,1,AB_ Chrysopetalidae sp 1,24133,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-J,1,AB_ Chrysopetalidae sp 2,24248,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-I,1,AB_ Chrysopetalidae sp 2,24134,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-K,2,AB_ Chrysopetalidae sp 3,24527,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-H,2,AB_ Chrysopetalidae sp 3,23880,macrofauna,east,DD
UKSRL1 UK-1 UK1-A-J,1,AB_ Chrysopetalidae sp 3,24249,macrofauna,east,DD
