"","Species","Individuals"
"N17161",1842.19378138688,17161
"N17181",1843.42015880732,17181
"N17201",1844.6457128498,17201
"N17221",1845.87044473052,17221
"N17241",1847.09435569364,17241
"N17261",1848.31744703172,17261
"N17281",1849.53972004988,17281
"N17301",1850.76117596442,17301
"N17321",1851.98181602252,17321
"N17341",1853.20164146251,17341
"N17361",1854.42065354328,17361
"N17381",1855.63885354253,17381
"N17401",1856.85624264925,17401
"N17421",1858.07282215604,17421
"N17441",1859.28859322844,17441
"N17461",1860.50355712987,17461
"N17481",1861.71771510302,17481
"N17501",1862.93106835224,17501
"N17521",1864.14361812874,17521
"N17541",1865.35536559988,17541
"N17561",1866.5663120022,17561
"N17581",1867.77645856183,17581
"N17601",1868.9858064808,17601
"N17621",1870.19435696097,17621
"N17641",1871.40211120017,17641
"N17661",1872.60907040129,17661
"N17681",1873.81523576603,17681
"N17701",1875.02060848638,17701
"N17721",1876.22518973803,17721
"N17741",1877.42898073695,17741
"N17761",1878.6319826371,17761
"N17781",1879.83419661942,17781
"N17801",1881.03562390356,17801
"N17821",1882.23626560804,17821
"N17841",1883.43612294937,17841
"N17861",1884.63519707713,17861
"N17881",1885.83348917724,17881
"N17901",1887.03100038509,17901
"N17921",1888.22773184583,17921
